City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arraial do cabo,-22.9661,-42.0278,24.92,78,75,5.14,BR,1681336933
1,praia,14.9215,-23.5087,22.3,73,0,5.14,CV,1681336981
2,butaritari,3.0707,172.7902,27.42,74,61,2.62,KI,1681337069
3,bambous virieux,-20.3428,57.7575,24.14,94,20,1.54,MU,1681337070
4,aras,42.5617,-2.356,5.4,87,100,3.09,ES,1681337070
5,kapaa,22.0752,-159.319,26.99,76,75,6.69,US,1681337070
6,kruisfontein,-34.0033,24.7314,15.75,47,100,2.76,ZA,1681337070
7,cravo norte,6.3017,-70.2041,32.2,48,100,1.85,CO,1681337070
8,socastee,33.6835,-78.9984,24.62,41,0,4.63,US,1681337070
9,punta arenas,-53.15,-70.9167,6.06,65,0,2.06,CL,1681336940
10,fethiye,36.6217,29.1164,8.93,76,30,2.25,TR,1681337070
11,hobart,-42.8794,147.3294,13.48,97,75,0.0,AU,1681337071
12,albany,42.6001,-73.9662,23.27,57,4,4.36,US,1681336817
13,rikitea,-23.1203,-134.9692,25.52,68,20,5.08,PF,1681336809
14,makakilo city,21.3469,-158.0858,25.34,67,75,3.6,US,1681336873
15,bluff,-46.6,168.3333,11.56,82,99,8.92,NZ,1681337071
16,avarua,-21.2078,-159.775,28.03,69,61,3.09,CK,1681336922
17,bredasdorp,-34.5322,20.0403,13.45,84,100,1.94,ZA,1681337072
18,pangnirtung,66.1451,-65.7125,-9.0,67,20,2.06,CA,1681337072
19,yenagoa,4.9247,6.2642,25.4,89,75,2.06,NG,1681337073
20,busselton,-33.65,115.3333,18.86,72,82,8.6,AU,1681337051
21,kiunga,-6.1219,141.2906,23.32,99,100,0.05,PG,1681337073
22,los llanos de aridane,28.6585,-17.9182,17.86,77,2,6.17,ES,1681337073
23,puerto ayora,-0.7393,-90.3518,31.98,80,92,3.58,EC,1681337073
24,ushuaia,-54.8,-68.3,4.81,60,75,10.29,AR,1681336818
25,cape town,-33.9258,18.4232,15.62,74,0,1.03,ZA,1681336994
26,vaini,-21.2,-175.2,29.09,74,75,5.14,TO,1681337074
27,sobolevo,54.4299,31.8996,9.32,62,100,3.63,RU,1681337074
28,new norfolk,-42.7826,147.0587,13.29,78,61,0.5,AU,1681337075
29,williston,48.147,-103.618,11.56,58,91,1.79,US,1681337075
30,qaanaaq,77.484,-69.3632,-17.22,77,67,0.4,GL,1681337075
31,clyde river,70.4692,-68.5914,-13.87,78,100,12.35,CA,1681337075
32,hilo,19.7297,-155.09,25.85,76,75,5.66,US,1681337076
33,santa cruz cabralia,-16.2781,-39.0247,26.13,83,40,2.06,BR,1681337076
34,barrow,71.2906,-156.7887,-21.99,77,0,5.14,US,1681337076
35,yulara,-25.2406,130.9889,24.51,36,98,3.19,AU,1681337076
36,broome,42.2506,-75.833,25.21,29,0,8.75,US,1681337076
37,saint-philippe,-21.3585,55.7679,24.77,85,29,0.09,RE,1681336952
38,dikson,73.5069,80.5464,-22.06,92,51,8.36,RU,1681337077
39,torbay,47.6666,-52.7314,2.38,87,100,5.66,CA,1681337077
40,narsaq,60.9167,-46.05,3.12,82,66,1.49,GL,1681337077
41,tabou,4.423,-7.3528,26.66,86,8,3.01,CI,1681337078
42,bowen,-20.0167,148.2333,26.47,81,89,4.14,AU,1681337078
43,khani,41.9563,42.9566,5.76,98,100,1.8,GE,1681337078
44,tigil,57.8,158.6667,-10.86,87,59,1.8,RU,1681337078
45,jamestown,42.097,-79.2353,22.8,37,0,7.72,US,1681337078
46,iqaluit,63.7506,-68.5145,-6.15,68,75,2.57,CA,1681336814
47,yumen,40.2833,97.2,7.09,38,100,7.11,CN,1681337078
48,saint-pierre,-21.3393,55.4781,24.82,78,0,2.06,RE,1681337079
49,severo-kurilsk,50.6789,156.125,-0.38,95,100,11.58,RU,1681337079
50,luba,3.4568,8.5547,25.94,78,72,1.8,GQ,1681337079
51,quesnel,52.9999,-122.5029,8.28,53,40,3.09,CA,1681336823
52,ribeira grande,38.5167,-28.7,17.1,93,71,1.79,PT,1681337079
53,kahului,20.8947,-156.47,29.01,60,20,9.83,US,1681337080
54,hermanus,-34.4187,19.2345,11.56,77,100,2.38,ZA,1681337080
55,hasaki,35.7333,140.8333,12.9,46,43,6.23,JP,1681337080
56,airai,-8.9266,125.4092,16.29,91,100,1.01,TL,1681337080
57,tsovinar,40.157,45.4613,7.75,82,100,2.56,AM,1681337081
58,rawson,-43.3002,-65.1023,9.6,50,72,7.87,AR,1681337081
59,fort wellington,6.4,-57.6,26.23,80,51,3.32,GY,1681337081
60,nikolskoye,59.7035,30.7861,7.11,97,81,3.21,RU,1681337081
61,porto walter,-8.2686,-72.7439,27.45,78,99,0.95,BR,1681337081
62,souillac,-20.5167,57.5167,24.21,94,20,1.54,MU,1681336871
63,ponta do sol,32.6667,-17.1,18.73,78,17,3.32,PT,1681337082
64,carnarvon,-24.8667,113.6333,21.54,77,36,8.45,AU,1681337082
65,barra do garcas,-15.89,-52.2567,28.32,74,40,0.0,BR,1681336927
66,grindavik,63.8424,-22.4338,3.97,81,0,5.14,IS,1681337082
67,port moresby,-9.4431,147.1797,23.68,94,40,2.57,PG,1681337082
